BioguideID	Courtesy	Title	FirstName	Middle/Nick	LastName	Suffix	Room/Bldg	City	State	Zip+4	State/District	Party
A000374	Mr.	The Honorable	Ralph	Lee	Abraham		417 Cannon House Office Building	Washington	DC	20515-1805	LA05	R
A000370	Ms.	The Honorable	Alma	S.	Adams		222 Cannon House Office Building	Washington	DC	20515-3312	NC12	D
A000055	Mr.	The Honorable	Robert	B.	Aderholt		235 Cannon House Office Building	Washington	DC	20515-0104	AL04	R
A000371	Mr.	The Honorable	Pete		Aguilar		1223 Longworth House Office Building	Washington	DC	20515-0531	CA31	D
A000372	Mr.	The Honorable	Rick	W.	Allen		426 Cannon House Office Building	Washington	DC	20515-1012	GA12	R
A000367	Mr.	The Honorable	Justin		Amash		114 Cannon House Office Building	Washington	DC	20515-2203	MI03	R
A000369	Mr.	The Honorable	Mark	E.	Amodei		332 Cannon House Office Building	Washington	DC	20515-2802	NV02	R
A000375	Mr.	The Honorable	Jodey	C.	Arrington		1029 Longworth House Office Building	Washington	DC	20515-4319	TX19	R
B001291	Mr.	The Honorable	Brian		Babin		316 Cannon House Office Building	Washington	DC	20515-4336	TX36	R
B001298	Mr.	The Honorable	Don		Bacon		1516 Longworth House Office Building	Washington	DC	20515-2702	NE02	R
B001299	Mr.	The Honorable	Jim		Banks		509 Cannon House Office Building	Washington	DC	20515-1403	IN03	R
B001269	Mr.	The Honorable	Lou		Barletta		2049 Rayburn House Office Building	Washington	DC	20515-3811	PA11	R
B001282	Mr.	The Honorable	Andy		Barr		1427 Longworth House Office Building	Washington	DC	20515-1706	KY06	R
B001300	Ms.	The Honorable	Nanette	Diaz	Barragán		1320 Longworth House Office Building	Washington	DC	20515-0544	CA44	D
B000213	Mr.	The Honorable	Joe		Barton		2107 Rayburn House Office Building	Washington	DC	20515-4306	TX06	R
B001270	Ms.	The Honorable	Karen		Bass		2241 Rayburn House Office Building	Washington	DC	20515-0537	CA37	D
B001281	Mrs.	The Honorable	Joyce		Beatty		133 Cannon House Office Building	Washington	DC	20515-3503	OH03	D
B000287	Mr.	The Honorable	Xavier		Becerra		1226 Longworth House Office Building	Washington	DC	20515-0534	CA34	D
B001287	Mr.	The Honorable	Ami		Bera		1431 Longworth House Office Building	Washington	DC	20515-0507	CA07	D
B001301	Mr.	The Honorable	Jack		Bergman		414 Cannon House Office Building	Washington	DC	20515-2201	MI01	R
B001292	Mr.	The Honorable	Donald	S.	Beyer	Jr.	1119 Longworth House Office Building	Washington	DC	20515-4608	VA08	D
B001302	Mr.	The Honorable	Andy		Biggs		1626 Longworth House Office Building	Washington	DC	20515-0305	AZ05	R
B001257	Mr.	The Honorable	Gus	M.	Bilirakis		2112 Rayburn House Office Building	Washington	DC	20515-0912	FL12	R
B001293	Mr.	The Honorable	Mike		Bishop		428 Cannon House Office Building	Washington	DC	20515-2208	MI08	R
B001250	Mr.	The Honorable	Rob		Bishop		123 Cannon House Office Building	Washington	DC	20515-4401	UT01	R
B000490	Mr.	The Honorable	Sanford	D.	Bishop	Jr.	2407 Rayburn House Office Building	Washington	DC	20515-1002	GA02	D
B001273	Mrs.	The Honorable	Diane		Black		1131 Longworth House Office Building	Washington	DC	20515-4206	TN06	R
B001243	Mrs.	The Honorable	Marsha		Blackburn		2266 Rayburn House Office Building	Washington	DC	20515-4207	TN07	R
B001294	Mr.	The Honorable	Rod		Blum		1108 Longworth House Office Building	Washington	DC	20515-1501	IA01	R
B000574	Mr.	The Honorable	Earl		Blumenauer		1111 Longworth House Office Building	Washington	DC	20515-3703	OR03	D
B001303	Ms.	The Honorable	Lisa		Blunt Rochester		1123 Longworth House Office Building	Washington	DC	20515-0800	DE00	D
B001278	Ms.	The Honorable	Suzanne		Bonamici		439 Cannon House Office Building	Washington	DC	20515-3701	OR01	D
B001245	Ms.	The Honorable	Madeleine	Z.	Bordallo		2441 Rayburn House Office Building	Washington	DC	20515-5301	GU00	D
B001295	Mr.	The Honorable	Mike		Bost		1440 Longworth House Office Building	Washington	DC	20515-1312	IL12	R
B001296	Mr.	The Honorable	Brendan	F.	Boyle		1133 Longworth House Office Building	Washington	DC	20515-3813	PA13	D
B000755	Mr.	The Honorable	Kevin		Brady		1011 Longworth House Office Building	Washington	DC	20515-4308	TX08	R
B001227	Mr.	The Honorable	Robert	A.	Brady		2004 Rayburn House Office Building	Washington	DC	20515-3801	PA01	D
B001290	Mr.	The Honorable	Dave		Brat		1628 Longworth House Office Building	Washington	DC	20515-4607	VA07	R
B001283	Mr.	The Honorable	Jim		Bridenstine		216 Cannon House Office Building	Washington	DC	20515-3601	OK01	R
B001274	Mr.	The Honorable	Mo		Brooks		2400 Rayburn House Office Building	Washington	DC	20515-0105	AL05	R
B001284	Mrs.	The Honorable	Susan	W.	Brooks		1030 Longworth House Office Building	Washington	DC	20515-1405	IN05	R
B001304	Mr.	The Honorable	Anthony	G.	Brown		1505 Longworth House Office Building	Washington	DC	20515-2004	MD04	D
B001285	Ms.	The Honorable	Julia		Brownley		1019 Longworth House Office Building	Washington	DC	20515-0526	CA26	D
B001260	Mr.	The Honorable	Vern		Buchanan		2104 Rayburn House Office Building	Washington	DC	20515-0916	FL16	R
B001297	Mr.	The Honorable	Ken		Buck		1130 Longworth House Office Building	Washington	DC	20515-0604	CO04	R
B001275	Mr.	The Honorable	Larry		Bucshon		1005 Longworth House Office Building	Washington	DC	20515-1408	IN08	R
B001305	Mr.	The Honorable	Ted		Budd		118 Cannon House Office Building	Washington	DC	20515-3313	NC13	R
B001248	Mr.	The Honorable	Michael	C.	Burgess		2336 Rayburn House Office Building	Washington	DC	20515-4326	TX26	R
B001286	Mrs.	The Honorable	Cheri		Bustos		1009 Longworth House Office Building	Washington	DC	20515-1317	IL17	D
B001251	Mr.	The Honorable	G.	K.	Butterfield		2080 Rayburn House Office Building	Washington	DC	20515-3301	NC01	D
B001289	Mr.	The Honorable	Bradley		Byrne		119 Cannon House Office Building	Washington	DC	20515-0101	AL01	R
C000059	Mr.	The Honorable	Ken		Calvert		2205 Rayburn House Office Building	Washington	DC	20515-0542	CA42	R
C001037	Mr.	The Honorable	Michael	E.	Capuano		1414 Longworth House Office Building	Washington	DC	20515-2107	MA07	D
C001112	Mr.	The Honorable	Salud	O.	Carbajal		212 Cannon House Office Building	Washington	DC	20515-0524	CA24	D
C001097	Mr.	The Honorable	Tony		Cárdenas		1510 Longworth House Office Building	Washington	DC	20515-0529	CA29	D
